query_id,candidate_id,suggested_label,suggested_confidence,suggested_score,label,confidence,notes
vue/button-primary-v24,react/button-primary-v1,duplicate,high,0.864657,,,
vue/button-primary-v24,react/button-primary-v2,duplicate,high,0.890701,,,
vue/button-primary-v24,react/button-primary-v3,duplicate,high,0.870701,,,
vue/button-primary-v24,react/button-primary-v4,duplicate,high,0.911228,,,
vue/button-primary-v24,react/button-primary-v5,duplicate,high,0.905000,,,
vue/button-primary-v24,react/button-primary-v6,duplicate,high,0.911228,,,
react/button-primary-v5,angular/button-primary-v1,near_duplicate,medium,0.781786,,,
react/button-primary-v5,angular/button-primary-v2,duplicate,high,0.843638,,,
react/button-primary-v5,angular/button-primary-v3,duplicate,high,0.869286,,,
react/button-primary-v5,angular/button-primary-v4,duplicate,high,0.869286,,,
react/button-primary-v5,angular/button-primary-v5,duplicate,high,0.843638,,,
react/button-primary-v5,angular/button-primary-v6,near_duplicate,medium,0.772686,,,
vue/button-primary-v8,react/button-primary-v1,duplicate,high,0.877155,,,
vue/button-primary-v8,react/button-primary-v2,duplicate,high,0.845000,,,
vue/button-primary-v8,react/button-primary-v3,duplicate,high,0.825000,,,
vue/button-primary-v8,react/button-primary-v4,duplicate,high,0.904473,,,
vue/button-primary-v8,react/button-primary-v5,duplicate,high,0.870701,,,
vue/button-primary-v8,react/button-primary-v6,duplicate,high,0.904473,,,
vue/button-primary-v12,react/button-primary-v1,duplicate,high,0.897681,,,
vue/button-primary-v12,react/button-primary-v2,duplicate,high,0.904473,,,
vue/button-primary-v12,react/button-primary-v3,duplicate,high,0.884473,,,
vue/button-primary-v12,react/button-primary-v4,duplicate,high,0.925000,,,
vue/button-primary-v12,react/button-primary-v5,duplicate,high,0.891228,,,
vue/button-primary-v12,react/button-primary-v6,duplicate,high,0.925000,,,
react/button-primary-v7,angular/button-primary-v1,near_duplicate,medium,0.786019,,,
react/button-primary-v7,angular/button-primary-v2,duplicate,high,0.880000,,,
react/button-primary-v7,angular/button-primary-v3,duplicate,high,0.873519,,,
react/button-primary-v7,angular/button-primary-v4,duplicate,high,0.843638,,,
react/button-primary-v7,angular/button-primary-v5,duplicate,high,0.905000,,,
react/button-primary-v7,angular/button-primary-v6,near_duplicate,medium,0.754167,,,
vue/button-primary-v27,react/button-primary-v1,duplicate,high,0.884348,,,
vue/button-primary-v27,react/button-primary-v2,duplicate,high,0.884473,,,
vue/button-primary-v27,react/button-primary-v3,duplicate,high,0.871140,,,
vue/button-primary-v27,react/button-primary-v4,duplicate,high,0.905000,,,
vue/button-primary-v27,react/button-primary-v5,duplicate,high,0.877894,,,
vue/button-primary-v27,react/button-primary-v6,duplicate,high,0.905000,,,
vue/button-primary-v20,react/button-primary-v1,duplicate,high,0.864657,,,
vue/button-primary-v20,react/button-primary-v2,duplicate,high,0.890701,,,
vue/button-primary-v20,react/button-primary-v3,duplicate,high,0.870701,,,
vue/button-primary-v20,react/button-primary-v4,duplicate,high,0.911228,,,
vue/button-primary-v20,react/button-primary-v5,duplicate,high,0.905000,,,
vue/button-primary-v20,react/button-primary-v6,duplicate,high,0.911228,,,
vue/button-primary-v13,react/button-primary-v1,duplicate,high,0.896191,,,
vue/button-primary-v13,react/button-primary-v2,duplicate,high,0.891644,,,
vue/button-primary-v13,react/button-primary-v3,duplicate,high,0.871644,,,
vue/button-primary-v13,react/button-primary-v4,duplicate,high,0.912171,,,
vue/button-primary-v13,react/button-primary-v5,duplicate,high,0.864165,,,
vue/button-primary-v13,react/button-primary-v6,duplicate,high,0.912171,,,
vue/button-primary-v35,react/button-primary-v1,duplicate,high,0.844130,,,
vue/button-primary-v35,react/button-primary-v2,duplicate,high,0.831228,,,
vue/button-primary-v35,react/button-primary-v3,near_duplicate,medium,0.811228,,,
vue/button-primary-v35,react/button-primary-v4,duplicate,high,0.890701,,,
vue/button-primary-v35,react/button-primary-v5,duplicate,high,0.884473,,,
vue/button-primary-v35,react/button-primary-v6,duplicate,high,0.890701,,,
vue/button-primary-v18,react/button-primary-v1,near_duplicate,medium,0.782837,,,
vue/button-primary-v18,react/button-primary-v2,duplicate,high,0.823728,,,
vue/button-primary-v18,react/button-primary-v3,near_duplicate,medium,0.803728,,,
vue/button-primary-v18,react/button-primary-v4,near_duplicate,medium,0.803201,,,
vue/button-primary-v18,react/button-primary-v5,near_duplicate,medium,0.761259,,,
vue/button-primary-v18,react/button-primary-v6,near_duplicate,medium,0.803201,,,
react/button-primary-v18,angular/button-primary-v1,near_duplicate,medium,0.802837,,,
react/button-primary-v18,angular/button-primary-v2,duplicate,high,0.836191,,,
react/button-primary-v18,angular/button-primary-v3,duplicate,high,0.890337,,,
react/button-primary-v18,angular/button-primary-v4,duplicate,high,0.890337,,,
react/button-primary-v18,angular/button-primary-v5,duplicate,high,0.836191,,,
react/button-primary-v18,angular/button-primary-v6,near_duplicate,medium,0.706765,,,
react/button-primary-v26,angular/button-primary-v1,near_duplicate,medium,0.781786,,,
react/button-primary-v26,angular/button-primary-v2,duplicate,high,0.843638,,,
react/button-primary-v26,angular/button-primary-v3,duplicate,high,0.905000,,,
react/button-primary-v26,angular/button-primary-v4,duplicate,high,0.869286,,,
react/button-primary-v26,angular/button-primary-v5,duplicate,high,0.873519,,,
react/button-primary-v26,angular/button-primary-v6,near_duplicate,medium,0.742805,,,
angular/button-primary-v23,react/button-primary-v1,near_duplicate,medium,0.795358,,,
angular/button-primary-v23,react/button-primary-v2,near_duplicate,medium,0.784144,,,
angular/button-primary-v23,react/button-primary-v3,near_duplicate,medium,0.770811,,,
angular/button-primary-v23,react/button-primary-v4,near_duplicate,medium,0.804671,,,
angular/button-primary-v23,react/button-primary-v5,near_duplicate,medium,0.763332,,,
angular/button-primary-v23,react/button-primary-v6,near_duplicate,medium,0.804671,,,
vue/button-primary-v25,react/button-primary-v1,duplicate,high,0.897681,,,
vue/button-primary-v25,react/button-primary-v2,duplicate,high,0.904473,,,
vue/button-primary-v25,react/button-primary-v3,duplicate,high,0.884473,,,
vue/button-primary-v25,react/button-primary-v4,duplicate,high,0.925000,,,
vue/button-primary-v25,react/button-primary-v5,duplicate,high,0.891228,,,
vue/button-primary-v25,react/button-primary-v6,duplicate,high,0.925000,,,
vue/button-primary-v15,react/button-primary-v1,duplicate,high,0.890864,,,
vue/button-primary-v15,react/button-primary-v2,duplicate,high,0.890701,,,
vue/button-primary-v15,react/button-primary-v3,duplicate,high,0.870701,,,
vue/button-primary-v15,react/button-primary-v4,duplicate,high,0.911228,,,
vue/button-primary-v15,react/button-primary-v5,duplicate,high,0.869286,,,
vue/button-primary-v15,react/button-primary-v6,duplicate,high,0.911228,,,
vue/button-primary-v4,react/button-primary-v1,near_duplicate,medium,0.789655,,,
vue/button-primary-v4,react/button-primary-v2,duplicate,high,0.837500,,,
vue/button-primary-v4,react/button-primary-v3,near_duplicate,medium,0.817500,,,
vue/button-primary-v4,react/button-primary-v4,near_duplicate,medium,0.816973,,,
vue/button-primary-v4,react/button-primary-v5,near_duplicate,medium,0.783201,,,
vue/button-primary-v4,react/button-primary-v6,near_duplicate,medium,0.816973,,,
vue/button-primary-v23,react/button-primary-v1,duplicate,high,0.875664,,,
vue/button-primary-v23,react/button-primary-v2,duplicate,high,0.832171,,,
vue/button-primary-v23,react/button-primary-v3,near_duplicate,medium,0.812171,,,
vue/button-primary-v23,react/button-primary-v4,duplicate,high,0.891644,,,
vue/button-primary-v23,react/button-primary-v5,duplicate,high,0.843638,,,
vue/button-primary-v23,react/button-primary-v6,duplicate,high,0.891644,,,
vue/button-primary-v3,react/button-primary-v1,duplicate,high,0.897681,,,
vue/button-primary-v3,react/button-primary-v2,duplicate,high,0.904473,,,
vue/button-primary-v3,react/button-primary-v3,duplicate,high,0.884473,,,
vue/button-primary-v3,react/button-primary-v4,duplicate,high,0.925000,,,
vue/button-primary-v3,react/button-primary-v5,duplicate,high,0.891228,,,
vue/button-primary-v3,react/button-primary-v6,duplicate,high,0.925000,,,
vue/button-primary-v17,react/button-primary-v1,duplicate,high,0.870337,,,
vue/button-primary-v17,react/button-primary-v2,duplicate,high,0.911228,,,
vue/button-primary-v17,react/button-primary-v3,duplicate,high,0.891228,,,
vue/button-primary-v17,react/button-primary-v4,duplicate,high,0.890701,,,
vue/button-primary-v17,react/button-primary-v5,duplicate,high,0.848759,,,
vue/button-primary-v17,react/button-primary-v6,duplicate,high,0.890701,,,
react/button-primary-v14,angular/button-primary-v1,duplicate,high,0.884165,,,
react/button-primary-v14,angular/button-primary-v2,near_duplicate,medium,0.791973,,,
react/button-primary-v14,angular/button-primary-v3,near_duplicate,medium,0.796665,,,
react/button-primary-v14,angular/button-primary-v4,duplicate,high,0.826546,,,
react/button-primary-v14,angular/button-primary-v5,near_duplicate,medium,0.766973,,,
react/button-primary-v14,angular/button-primary-v6,duplicate,high,0.884473,,,
angular/button-primary-v6,react/button-primary-v1,near_duplicate,medium,0.752904,,,
angular/button-primary-v6,react/button-primary-v2,near_duplicate,medium,0.804671,,,
angular/button-primary-v6,react/button-primary-v3,near_duplicate,medium,0.791337,,,
angular/button-primary-v6,react/button-primary-v4,near_duplicate,medium,0.784144,,,
angular/button-primary-v6,react/button-primary-v5,near_duplicate,medium,0.772686,,,
angular/button-primary-v6,react/button-primary-v6,near_duplicate,medium,0.784144,,,
vue/button-primary-v26,react/button-primary-v1,duplicate,high,0.897681,,,
vue/button-primary-v26,react/button-primary-v2,duplicate,high,0.904473,,,
vue/button-primary-v26,react/button-primary-v3,duplicate,high,0.884473,,,
vue/button-primary-v26,react/button-primary-v4,duplicate,high,0.925000,,,
vue/button-primary-v26,react/button-primary-v5,duplicate,high,0.891228,,,
vue/button-primary-v26,react/button-primary-v6,duplicate,high,0.925000,,,
angular/button-primary-v2,react/button-primary-v1,duplicate,high,0.875664,,,
angular/button-primary-v2,react/button-primary-v2,duplicate,high,0.912171,,,
angular/button-primary-v2,react/button-primary-v3,duplicate,high,0.892171,,,
angular/button-primary-v2,react/button-primary-v4,duplicate,high,0.891644,,,
angular/button-primary-v2,react/button-primary-v5,duplicate,high,0.843638,,,
angular/button-primary-v2,react/button-primary-v6,duplicate,high,0.891644,,,
vue/button-primary-v6,react/button-primary-v1,duplicate,high,0.870337,,,
vue/button-primary-v6,react/button-primary-v2,duplicate,high,0.911228,,,
vue/button-primary-v6,react/button-primary-v3,duplicate,high,0.891228,,,
vue/button-primary-v6,react/button-primary-v4,duplicate,high,0.890701,,,
vue/button-primary-v6,react/button-primary-v5,duplicate,high,0.848759,,,
vue/button-primary-v6,react/button-primary-v6,duplicate,high,0.890701,,,
vue/button-primary-v20,react/button-primary-v1,duplicate,high,0.864657,,,
vue/button-primary-v20,react/button-primary-v2,duplicate,high,0.890701,,,
vue/button-primary-v20,react/button-primary-v3,duplicate,high,0.870701,,,
vue/button-primary-v20,react/button-primary-v4,duplicate,high,0.911228,,,
vue/button-primary-v20,react/button-primary-v5,duplicate,high,0.905000,,,
vue/button-primary-v20,react/button-primary-v6,duplicate,high,0.911228,,,
vue/button-primary-v20,react/button-primary-v1,duplicate,high,0.864657,,,
vue/button-primary-v20,react/button-primary-v2,duplicate,high,0.890701,,,
vue/button-primary-v20,react/button-primary-v3,duplicate,high,0.870701,,,
vue/button-primary-v20,react/button-primary-v4,duplicate,high,0.911228,,,
vue/button-primary-v20,react/button-primary-v5,duplicate,high,0.905000,,,
vue/button-primary-v20,react/button-primary-v6,duplicate,high,0.911228,,,
react/button-primary-v17,angular/button-primary-v1,near_duplicate,medium,0.816973,,,
react/button-primary-v17,angular/button-primary-v2,duplicate,high,0.834046,,,
react/button-primary-v17,angular/button-primary-v3,duplicate,high,0.868759,,,
react/button-primary-v17,angular/button-primary-v4,duplicate,high,0.868759,,,
react/button-primary-v17,angular/button-primary-v5,duplicate,high,0.834046,,,
react/button-primary-v17,angular/button-primary-v6,near_duplicate,medium,0.696665,,,
vue/button-primary-v10,react/button-primary-v1,duplicate,high,0.877155,,,
vue/button-primary-v10,react/button-primary-v2,duplicate,high,0.845000,,,
vue/button-primary-v10,react/button-primary-v3,duplicate,high,0.825000,,,
vue/button-primary-v10,react/button-primary-v4,duplicate,high,0.904473,,,
vue/button-primary-v10,react/button-primary-v5,duplicate,high,0.870701,,,
vue/button-primary-v10,react/button-primary-v6,duplicate,high,0.904473,,,
angular/button-primary-v10,react/button-primary-v1,duplicate,high,0.853738,,,
angular/button-primary-v10,react/button-primary-v2,duplicate,high,0.912171,,,
angular/button-primary-v10,react/button-primary-v3,duplicate,high,0.892171,,,
angular/button-primary-v10,react/button-primary-v4,duplicate,high,0.891644,,,
angular/button-primary-v10,react/button-primary-v5,duplicate,high,0.873519,,,
angular/button-primary-v10,react/button-primary-v6,duplicate,high,0.891644,,,
vue/button-primary-v19,react/button-primary-v1,duplicate,high,0.862331,,,
vue/button-primary-v19,react/button-primary-v2,near_duplicate,medium,0.812171,,,
vue/button-primary-v19,react/button-primary-v3,near_duplicate,medium,0.798837,,,
vue/button-primary-v19,react/button-primary-v4,duplicate,high,0.871644,,,
vue/button-primary-v19,react/button-primary-v5,duplicate,high,0.830305,,,
vue/button-primary-v19,react/button-primary-v6,duplicate,high,0.871644,,,
angular/button-primary-v33,react/button-primary-v1,duplicate,high,0.897681,,,
angular/button-primary-v33,react/button-primary-v2,duplicate,high,0.904473,,,
angular/button-primary-v33,react/button-primary-v3,duplicate,high,0.884473,,,
angular/button-primary-v33,react/button-primary-v4,duplicate,high,0.925000,,,
angular/button-primary-v33,react/button-primary-v5,duplicate,high,0.891228,,,
angular/button-primary-v33,react/button-primary-v6,duplicate,high,0.925000,,,
angular/button-primary-v31,react/button-primary-v1,duplicate,high,0.905000,,,
angular/button-primary-v31,react/button-primary-v2,duplicate,high,0.897155,,,
angular/button-primary-v31,react/button-primary-v3,duplicate,high,0.877155,,,
angular/button-primary-v31,react/button-primary-v4,duplicate,high,0.917681,,,
angular/button-primary-v31,react/button-primary-v5,duplicate,high,0.864657,,,
angular/button-primary-v31,react/button-primary-v6,duplicate,high,0.917681,,,
react/button-primary-v7,angular/button-primary-v1,near_duplicate,medium,0.786019,,,
react/button-primary-v7,angular/button-primary-v2,duplicate,high,0.880000,,,
react/button-primary-v7,angular/button-primary-v3,duplicate,high,0.873519,,,
react/button-primary-v7,angular/button-primary-v4,duplicate,high,0.843638,,,
react/button-primary-v7,angular/button-primary-v5,duplicate,high,0.905000,,,
react/button-primary-v7,angular/button-primary-v6,near_duplicate,medium,0.754167,,,
vue/button-primary-v29,react/button-primary-v1,duplicate,high,0.896191,,,
vue/button-primary-v29,react/button-primary-v2,duplicate,high,0.891644,,,
vue/button-primary-v29,react/button-primary-v3,duplicate,high,0.871644,,,
vue/button-primary-v29,react/button-primary-v4,duplicate,high,0.912171,,,
vue/button-primary-v29,react/button-primary-v5,duplicate,high,0.864165,,,
vue/button-primary-v29,react/button-primary-v6,duplicate,high,0.912171,,,
react/button-primary-v19,angular/button-primary-v1,near_duplicate,medium,0.782837,,,
react/button-primary-v19,angular/button-primary-v2,duplicate,high,0.896191,,,
react/button-primary-v19,angular/button-primary-v3,duplicate,high,0.870337,,,
react/button-primary-v19,angular/button-primary-v4,duplicate,high,0.870337,,,
react/button-primary-v19,angular/button-primary-v5,duplicate,high,0.896191,,,
react/button-primary-v19,angular/button-primary-v6,near_duplicate,medium,0.773431,,,
react/button-primary-v27,angular/button-primary-v1,near_duplicate,medium,0.806019,,,
react/button-primary-v27,angular/button-primary-v2,duplicate,high,0.820000,,,
react/button-primary-v27,angular/button-primary-v3,duplicate,high,0.893519,,,
react/button-primary-v27,angular/button-primary-v4,duplicate,high,0.863638,,,
react/button-primary-v27,angular/button-primary-v5,duplicate,high,0.845000,,,
react/button-primary-v27,angular/button-primary-v6,near_duplicate,medium,0.687500,,,
react/button-primary-v14,angular/button-primary-v1,duplicate,high,0.884165,,,
react/button-primary-v14,angular/button-primary-v2,near_duplicate,medium,0.791973,,,
react/button-primary-v14,angular/button-primary-v3,near_duplicate,medium,0.796665,,,
react/button-primary-v14,angular/button-primary-v4,duplicate,high,0.826546,,,
react/button-primary-v14,angular/button-primary-v5,near_duplicate,medium,0.766973,,,
react/button-primary-v14,angular/button-primary-v6,duplicate,high,0.884473,,,
angular/button-primary-v14,react/button-primary-v1,duplicate,high,0.877155,,,
angular/button-primary-v14,react/button-primary-v2,duplicate,high,0.925000,,,
angular/button-primary-v14,react/button-primary-v3,duplicate,high,0.905000,,,
angular/button-primary-v14,react/button-primary-v4,duplicate,high,0.904473,,,
angular/button-primary-v14,react/button-primary-v5,duplicate,high,0.870701,,,
angular/button-primary-v14,react/button-primary-v6,duplicate,high,0.904473,,,
vue/button-primary-v31,react/button-primary-v1,duplicate,high,0.884348,,,
vue/button-primary-v31,react/button-primary-v2,duplicate,high,0.884473,,,
vue/button-primary-v31,react/button-primary-v3,duplicate,high,0.871140,,,
vue/button-primary-v31,react/button-primary-v4,duplicate,high,0.905000,,,
vue/button-primary-v31,react/button-primary-v5,duplicate,high,0.877894,,,
vue/button-primary-v31,react/button-primary-v6,duplicate,high,0.905000,,,
angular/button-primary-v13,react/button-primary-v1,duplicate,high,0.870337,,,
angular/button-primary-v13,react/button-primary-v2,duplicate,high,0.911228,,,
angular/button-primary-v13,react/button-primary-v3,duplicate,high,0.891228,,,
angular/button-primary-v13,react/button-primary-v4,duplicate,high,0.890701,,,
angular/button-primary-v13,react/button-primary-v5,duplicate,high,0.848759,,,
angular/button-primary-v13,react/button-primary-v6,duplicate,high,0.890701,,,
angular/button-primary-v5,react/button-primary-v1,duplicate,high,0.875664,,,
angular/button-primary-v5,react/button-primary-v2,duplicate,high,0.912171,,,
angular/button-primary-v5,react/button-primary-v3,duplicate,high,0.892171,,,
angular/button-primary-v5,react/button-primary-v4,duplicate,high,0.891644,,,
angular/button-primary-v5,react/button-primary-v5,duplicate,high,0.843638,,,
angular/button-primary-v5,react/button-primary-v6,duplicate,high,0.891644,,,
react/button-primary-v26,angular/button-primary-v1,near_duplicate,medium,0.781786,,,
react/button-primary-v26,angular/button-primary-v2,duplicate,high,0.843638,,,
react/button-primary-v26,angular/button-primary-v3,duplicate,high,0.905000,,,
react/button-primary-v26,angular/button-primary-v4,duplicate,high,0.869286,,,
react/button-primary-v26,angular/button-primary-v5,duplicate,high,0.873519,,,
react/button-primary-v26,angular/button-primary-v6,near_duplicate,medium,0.742805,,,
vue/button-primary-v19,react/button-primary-v1,duplicate,high,0.862331,,,
vue/button-primary-v19,react/button-primary-v2,near_duplicate,medium,0.812171,,,
vue/button-primary-v19,react/button-primary-v3,near_duplicate,medium,0.798837,,,
vue/button-primary-v19,react/button-primary-v4,duplicate,high,0.871644,,,
vue/button-primary-v19,react/button-primary-v5,duplicate,high,0.830305,,,
vue/button-primary-v19,react/button-primary-v6,duplicate,high,0.871644,,,
vue/button-primary-v6,react/button-primary-v1,duplicate,high,0.870337,,,
vue/button-primary-v6,react/button-primary-v2,duplicate,high,0.911228,,,
vue/button-primary-v6,react/button-primary-v3,duplicate,high,0.891228,,,
vue/button-primary-v6,react/button-primary-v4,duplicate,high,0.890701,,,
vue/button-primary-v6,react/button-primary-v5,duplicate,high,0.848759,,,
vue/button-primary-v6,react/button-primary-v6,duplicate,high,0.890701,,,
angular/button-primary-v22,react/button-primary-v1,duplicate,high,0.870337,,,
angular/button-primary-v22,react/button-primary-v2,duplicate,high,0.911228,,,
angular/button-primary-v22,react/button-primary-v3,duplicate,high,0.891228,,,
